,time,value
0,00-00-00,20
1,00-30-00,6
2,01-00-00,3
3,01-30-00,3
4,02-00-00,0
5,02-30-00,0
6,03-00-00,0
7,03-30-00,0
8,04-00-00,0
9,04-30-00,0
10,05-00-00,3
11,05-30-00,3
12,06-00-00,3
13,06-30-00,4
14,07-00-00,21
15,07-30-00,159
16,08-00-00,154
17,08-30-00,156
18,09-00-00,109
19,09-30-00,157
20,10-00-00,65
21,10-30-00,67
22,11-00-00,97
23,11-30-00,77
24,12-00-00,88
25,12-30-00,74
26,13-00-00,95
27,13-30-00,115
28,14-00-00,67
29,14-30-00,48
30,15-00-00,72
31,15-30-00,90
32,16-00-00,63
33,16-30-00,79
34,17-00-00,78
35,17-30-00,146
36,18-00-00,196
37,18-30-00,146
38,19-00-00,98
39,19-30-00,96
40,20-00-00,54
41,20-30-00,90
42,21-00-00,87
43,21-30-00,126
44,22-00-00,70
45,22-30-00,83
46,23-00-00,19
47,23-30-00,24
