,time,value
0,00-00-00,4
1,00-30-00,4
2,01-00-00,7
3,01-30-00,2
4,02-00-00,3
5,02-30-00,2
6,03-00-00,2
7,03-30-00,1
8,04-00-00,0
9,04-30-00,1
10,05-00-00,0
11,05-30-00,0
12,06-00-00,1
13,06-30-00,4
14,07-00-00,16
15,07-30-00,64
16,08-00-00,132
17,08-30-00,164
18,09-00-00,106
19,09-30-00,84
20,10-00-00,72
21,10-30-00,65
22,11-00-00,81
23,11-30-00,58
24,12-00-00,66
25,12-30-00,112
26,13-00-00,60
27,13-30-00,105
28,14-00-00,83
29,14-30-00,77
30,15-00-00,89
31,15-30-00,96
32,16-00-00,76
33,16-30-00,61
34,17-00-00,77
35,17-30-00,89
36,18-00-00,147
37,18-30-00,129
38,19-00-00,124
39,19-30-00,101
40,20-00-00,51
41,20-30-00,53
42,21-00-00,60
43,21-30-00,57
44,22-00-00,77
45,22-30-00,59
46,23-00-00,32
47,23-30-00,12
