,time,value
0,00-00-00,0
1,00-30-00,4
2,01-00-00,2
3,01-30-00,2
4,02-00-00,0
5,02-30-00,0
6,03-00-00,0
7,03-30-00,3
8,04-00-00,0
9,04-30-00,0
10,05-00-00,1
11,05-30-00,0
12,06-00-00,0
13,06-30-00,1
14,07-00-00,4
15,07-30-00,13
16,08-00-00,34
17,08-30-00,66
18,09-00-00,7
19,09-30-00,11
20,10-00-00,14
21,10-30-00,45
22,11-00-00,66
23,11-30-00,76
24,12-00-00,61
25,12-30-00,70
26,13-00-00,10
27,13-30-00,16
28,14-00-00,16
29,14-30-00,17
30,15-00-00,115
31,15-30-00,70
32,16-00-00,27
33,16-30-00,22
34,17-00-00,29
35,17-30-00,28
36,18-00-00,18
37,18-30-00,30
38,19-00-00,20
39,19-30-00,20
40,20-00-00,12
41,20-30-00,14
42,21-00-00,17
43,21-30-00,11
44,22-00-00,12
45,22-30-00,6
46,23-00-00,8
47,23-30-00,12
