,time,value
0,00-00-00,5
1,00-30-00,3
2,01-00-00,1
3,01-30-00,4
4,02-00-00,2
5,02-30-00,0
6,03-00-00,1
7,03-30-00,1
8,04-00-00,1
9,04-30-00,1
10,05-00-00,0
11,05-30-00,0
12,06-00-00,0
13,06-30-00,1
14,07-00-00,2
15,07-30-00,4
16,08-00-00,9
17,08-30-00,20
18,09-00-00,44
19,09-30-00,23
20,10-00-00,34
21,10-30-00,48
22,11-00-00,41
23,11-30-00,44
24,12-00-00,27
25,12-30-00,51
26,13-00-00,63
27,13-30-00,50
28,14-00-00,51
29,14-30-00,43
30,15-00-00,41
31,15-30-00,46
32,16-00-00,32
33,16-30-00,42
34,17-00-00,51
35,17-30-00,46
36,18-00-00,49
37,18-30-00,61
38,19-00-00,54
39,19-30-00,38
40,20-00-00,41
41,20-30-00,40
42,21-00-00,48
43,21-30-00,30
44,22-00-00,28
45,22-30-00,22
46,23-00-00,12
47,23-30-00,4
