,time,value
0,00-00-00,5
1,00-30-00,1
2,01-00-00,2
3,01-30-00,1
4,02-00-00,2
5,02-30-00,4
6,03-00-00,2
7,03-30-00,0
8,04-00-00,0
9,04-30-00,1
10,05-00-00,0
11,05-30-00,1
12,06-00-00,2
13,06-30-00,4
14,07-00-00,13
15,07-30-00,74
16,08-00-00,115
17,08-30-00,154
18,09-00-00,144
19,09-30-00,87
20,10-00-00,60
21,10-30-00,85
22,11-00-00,81
23,11-30-00,110
24,12-00-00,83
25,12-30-00,103
26,13-00-00,85
27,13-30-00,89
28,14-00-00,64
29,14-30-00,58
30,15-00-00,66
31,15-30-00,63
32,16-00-00,93
33,16-30-00,56
34,17-00-00,71
35,17-30-00,104
36,18-00-00,126
37,18-30-00,181
38,19-00-00,103
39,19-30-00,82
40,20-00-00,47
41,20-30-00,61
42,21-00-00,60
43,21-30-00,86
44,22-00-00,43
45,22-30-00,26
46,23-00-00,20
47,23-30-00,3
