,time,value
0,00-00-00,10
1,00-30-00,1
2,01-00-00,2
3,01-30-00,0
4,02-00-00,4
5,02-30-00,1
6,03-00-00,0
7,03-30-00,0
8,04-00-00,1
9,04-30-00,1
10,05-00-00,2
11,05-30-00,1
12,06-00-00,5
13,06-30-00,0
14,07-00-00,19
15,07-30-00,138
16,08-00-00,138
17,08-30-00,153
18,09-00-00,98
19,09-30-00,143
20,10-00-00,52
21,10-30-00,67
22,11-00-00,51
23,11-30-00,67
24,12-00-00,95
25,12-30-00,81
26,13-00-00,70
27,13-30-00,80
28,14-00-00,67
29,14-30-00,68
30,15-00-00,112
31,15-30-00,124
32,16-00-00,81
33,16-30-00,56
34,17-00-00,54
35,17-30-00,120
36,18-00-00,100
37,18-30-00,83
38,19-00-00,76
39,19-30-00,104
40,20-00-00,44
41,20-30-00,87
42,21-00-00,69
43,21-30-00,113
44,22-00-00,113
45,22-30-00,66
46,23-00-00,64
47,23-30-00,9
