,time,value
0,00-00-00,12
1,00-30-00,2
2,01-00-00,5
3,01-30-00,3
4,02-00-00,5
5,02-30-00,0
6,03-00-00,0
7,03-30-00,0
8,04-00-00,0
9,04-30-00,0
10,05-00-00,1
11,05-30-00,5
12,06-00-00,1
13,06-30-00,2
14,07-00-00,3
15,07-30-00,36
16,08-00-00,88
17,08-30-00,175
18,09-00-00,100
19,09-30-00,95
20,10-00-00,70
21,10-30-00,80
22,11-00-00,59
23,11-30-00,59
24,12-00-00,62
25,12-30-00,62
26,13-00-00,51
27,13-30-00,44
28,14-00-00,72
29,14-30-00,62
30,15-00-00,62
31,15-30-00,81
32,16-00-00,41
33,16-30-00,68
34,17-00-00,87
35,17-30-00,92
36,18-00-00,96
37,18-30-00,123
38,19-00-00,119
39,19-30-00,111
40,20-00-00,95
41,20-30-00,63
42,21-00-00,95
43,21-30-00,59
44,22-00-00,61
45,22-30-00,32
46,23-00-00,16
47,23-30-00,20
