,time,value
0,00-00-00,9
1,00-30-00,10
2,01-00-00,20
3,01-30-00,10
4,02-00-00,3
5,02-30-00,3
6,03-00-00,0
7,03-30-00,0
8,04-00-00,0
9,04-30-00,0
10,05-00-00,0
11,05-30-00,1
12,06-00-00,2
13,06-30-00,3
14,07-00-00,27
15,07-30-00,64
16,08-00-00,48
17,08-30-00,25
18,09-00-00,25
19,09-30-00,25
20,10-00-00,16
21,10-30-00,30
22,11-00-00,27
23,11-30-00,26
24,12-00-00,21
25,12-30-00,9
26,13-00-00,54
27,13-30-00,62
28,14-00-00,17
29,14-30-00,29
30,15-00-00,32
31,15-30-00,26
32,16-00-00,49
33,16-30-00,39
34,17-00-00,24
35,17-30-00,36
36,18-00-00,73
37,18-30-00,53
38,19-00-00,21
39,19-30-00,49
40,20-00-00,59
41,20-30-00,53
42,21-00-00,63
43,21-30-00,57
44,22-00-00,64
45,22-30-00,76
46,23-00-00,34
47,23-30-00,29
