,time,value
0,00-00-00,6
1,00-30-00,6
2,01-00-00,5
3,01-30-00,6
4,02-00-00,0
5,02-30-00,0
6,03-00-00,5
7,03-30-00,1
8,04-00-00,1
9,04-30-00,0
10,05-00-00,0
11,05-30-00,0
12,06-00-00,2
13,06-30-00,7
14,07-00-00,29
15,07-30-00,63
16,08-00-00,96
17,08-30-00,80
18,09-00-00,51
19,09-30-00,86
20,10-00-00,71
21,10-30-00,46
22,11-00-00,46
23,11-30-00,77
24,12-00-00,66
25,12-30-00,74
26,13-00-00,62
27,13-30-00,47
28,14-00-00,36
29,14-30-00,47
30,15-00-00,49
31,15-30-00,75
32,16-00-00,90
33,16-30-00,86
34,17-00-00,88
35,17-30-00,137
36,18-00-00,167
37,18-30-00,140
38,19-00-00,102
39,19-30-00,129
40,20-00-00,87
41,20-30-00,157
42,21-00-00,183
43,21-30-00,132
44,22-00-00,177
45,22-30-00,89
46,23-00-00,63
47,23-30-00,27
