,time,value
0,00-00-00,4
1,00-30-00,4
2,01-00-00,1
3,01-30-00,3
4,02-00-00,0
5,02-30-00,2
6,03-00-00,0
7,03-30-00,0
8,04-00-00,0
9,04-30-00,0
10,05-00-00,1
11,05-30-00,0
12,06-00-00,0
13,06-30-00,0
14,07-00-00,10
15,07-30-00,24
16,08-00-00,15
17,08-30-00,30
18,09-00-00,15
19,09-30-00,24
20,10-00-00,24
21,10-30-00,21
22,11-00-00,12
23,11-30-00,35
24,12-00-00,56
25,12-30-00,50
26,13-00-00,41
27,13-30-00,38
28,14-00-00,31
29,14-30-00,30
30,15-00-00,29
31,15-30-00,23
32,16-00-00,25
33,16-30-00,30
34,17-00-00,44
35,17-30-00,73
36,18-00-00,58
37,18-30-00,38
38,19-00-00,35
39,19-30-00,30
40,20-00-00,22
41,20-30-00,29
42,21-00-00,15
43,21-30-00,23
44,22-00-00,22
45,22-30-00,1
46,23-00-00,0
47,23-30-00,0
