,time,value
0,00-00-00,16
1,00-30-00,7
2,01-00-00,8
3,01-30-00,4
4,02-00-00,0
5,02-30-00,1
6,03-00-00,1
7,03-30-00,4
8,04-00-00,3
9,04-30-00,0
10,05-00-00,2
11,05-30-00,2
12,06-00-00,1
13,06-30-00,8
14,07-00-00,19
15,07-30-00,49
16,08-00-00,22
17,08-30-00,28
18,09-00-00,16
19,09-30-00,15
20,10-00-00,14
21,10-30-00,25
22,11-00-00,13
23,11-30-00,16
24,12-00-00,14
25,12-30-00,33
26,13-00-00,27
27,13-30-00,14
28,14-00-00,13
29,14-30-00,30
30,15-00-00,14
31,15-30-00,6
32,16-00-00,16
33,16-30-00,16
34,17-00-00,12
35,17-30-00,44
36,18-00-00,49
37,18-30-00,51
38,19-00-00,31
39,19-30-00,35
40,20-00-00,29
41,20-30-00,49
42,21-00-00,31
43,21-30-00,44
44,22-00-00,53
45,22-30-00,40
46,23-00-00,30
47,23-30-00,21
