,time,value
0,00-00-00,16
1,00-30-00,10
2,01-00-00,10
3,01-30-00,4
4,02-00-00,4
5,02-30-00,0
6,03-00-00,1
7,03-30-00,0
8,04-00-00,1
9,04-30-00,0
10,05-00-00,0
11,05-30-00,0
12,06-00-00,1
13,06-30-00,3
14,07-00-00,28
15,07-30-00,115
16,08-00-00,91
17,08-30-00,68
18,09-00-00,46
19,09-30-00,87
20,10-00-00,38
21,10-30-00,38
22,11-00-00,42
23,11-30-00,66
24,12-00-00,102
25,12-30-00,81
26,13-00-00,63
27,13-30-00,54
28,14-00-00,50
29,14-30-00,61
30,15-00-00,49
31,15-30-00,105
32,16-00-00,61
33,16-30-00,59
34,17-00-00,74
35,17-30-00,107
36,18-00-00,156
37,18-30-00,158
38,19-00-00,75
39,19-30-00,126
40,20-00-00,87
41,20-30-00,108
42,21-00-00,133
43,21-30-00,132
44,22-00-00,155
45,22-30-00,86
46,23-00-00,64
47,23-30-00,26
