,time,value
0,00-00-00,9
1,00-30-00,5
2,01-00-00,5
3,01-30-00,3
4,02-00-00,0
5,02-30-00,1
6,03-00-00,4
7,03-30-00,1
8,04-00-00,1
9,04-30-00,0
10,05-00-00,0
11,05-30-00,0
12,06-00-00,0
13,06-30-00,4
14,07-00-00,15
15,07-30-00,45
16,08-00-00,39
17,08-30-00,33
18,09-00-00,14
19,09-30-00,24
20,10-00-00,23
21,10-30-00,16
22,11-00-00,12
23,11-30-00,27
24,12-00-00,13
25,12-30-00,11
26,13-00-00,22
27,13-30-00,10
28,14-00-00,10
29,14-30-00,8
30,15-00-00,21
31,15-30-00,15
32,16-00-00,15
33,16-30-00,15
34,17-00-00,15
35,17-30-00,35
36,18-00-00,94
37,18-30-00,46
38,19-00-00,35
39,19-30-00,50
40,20-00-00,37
41,20-30-00,28
42,21-00-00,45
43,21-30-00,58
44,22-00-00,39
45,22-30-00,68
46,23-00-00,50
47,23-30-00,17
