,time,value
0,00-00-00,1
1,00-30-00,0
2,01-00-00,2
3,01-30-00,1
4,02-00-00,0
5,02-30-00,0
6,03-00-00,0
7,03-30-00,1
8,04-00-00,0
9,04-30-00,0
10,05-00-00,1
11,05-30-00,1
12,06-00-00,1
13,06-30-00,1
14,07-00-00,14
15,07-30-00,51
16,08-00-00,79
17,08-30-00,94
18,09-00-00,123
19,09-30-00,101
20,10-00-00,89
21,10-30-00,44
22,11-00-00,27
23,11-30-00,41
24,12-00-00,75
25,12-30-00,90
26,13-00-00,67
27,13-30-00,42
28,14-00-00,18
29,14-30-00,21
30,15-00-00,22
31,15-30-00,14
32,16-00-00,32
33,16-30-00,32
34,17-00-00,39
35,17-30-00,75
36,18-00-00,64
37,18-30-00,50
38,19-00-00,57
39,19-30-00,42
40,20-00-00,38
41,20-30-00,11
42,21-00-00,17
43,21-30-00,18
44,22-00-00,12
45,22-30-00,3
46,23-00-00,14
47,23-30-00,4
