,time,value
0,00-00-00,21
1,00-30-00,29
2,01-00-00,4
3,01-30-00,3
4,02-00-00,11
5,02-30-00,16
6,03-00-00,10
7,03-30-00,4
8,04-00-00,1
9,04-30-00,0
10,05-00-00,0
11,05-30-00,7
12,06-00-00,76
13,06-30-00,30
14,07-00-00,19
15,07-30-00,59
16,08-00-00,259
17,08-30-00,213
18,09-00-00,95
19,09-30-00,100
20,10-00-00,54
21,10-30-00,38
22,11-00-00,42
23,11-30-00,64
24,12-00-00,67
25,12-30-00,89
26,13-00-00,112
27,13-30-00,62
28,14-00-00,49
29,14-30-00,46
30,15-00-00,24
31,15-30-00,29
32,16-00-00,30
33,16-30-00,32
34,17-00-00,50
35,17-30-00,82
36,18-00-00,130
37,18-30-00,97
38,19-00-00,73
39,19-30-00,38
40,20-00-00,38
41,20-30-00,30
42,21-00-00,17
43,21-30-00,17
44,22-00-00,50
45,22-30-00,40
46,23-00-00,25
47,23-30-00,7
