,time,value
0,00-00-00,2
1,00-30-00,0
2,01-00-00,4
3,01-30-00,1
4,02-00-00,1
5,02-30-00,0
6,03-00-00,0
7,03-30-00,0
8,04-00-00,0
9,04-30-00,1
10,05-00-00,1
11,05-30-00,0
12,06-00-00,1
13,06-30-00,1
14,07-00-00,0
15,07-30-00,10
16,08-00-00,21
17,08-30-00,23
18,09-00-00,15
19,09-30-00,49
20,10-00-00,40
21,10-30-00,37
22,11-00-00,26
23,11-30-00,38
24,12-00-00,72
25,12-30-00,80
26,13-00-00,54
27,13-30-00,28
28,14-00-00,45
29,14-30-00,31
30,15-00-00,39
31,15-30-00,42
32,16-00-00,25
33,16-30-00,51
34,17-00-00,89
35,17-30-00,76
36,18-00-00,60
37,18-30-00,59
38,19-00-00,51
39,19-30-00,26
40,20-00-00,23
41,20-30-00,25
42,21-00-00,8
43,21-30-00,17
44,22-00-00,10
45,22-30-00,24
46,23-00-00,0
47,23-30-00,1
