,time,value
0,00-00-00,0
1,00-30-00,1
2,01-00-00,1
3,01-30-00,0
4,02-00-00,0
5,02-30-00,7
6,03-00-00,0
7,03-30-00,0
8,04-00-00,2
9,04-30-00,0
10,05-00-00,0
11,05-30-00,0
12,06-00-00,0
13,06-30-00,1
14,07-00-00,1
15,07-30-00,3
16,08-00-00,0
17,08-30-00,11
18,09-00-00,25
19,09-30-00,25
20,10-00-00,27
21,10-30-00,22
22,11-00-00,27
23,11-30-00,43
24,12-00-00,61
25,12-30-00,80
26,13-00-00,35
27,13-30-00,36
28,14-00-00,45
29,14-30-00,22
30,15-00-00,15
31,15-30-00,48
32,16-00-00,38
33,16-30-00,27
34,17-00-00,46
35,17-30-00,51
36,18-00-00,33
37,18-30-00,47
38,19-00-00,39
39,19-30-00,18
40,20-00-00,30
41,20-30-00,8
42,21-00-00,31
43,21-30-00,17
44,22-00-00,7
45,22-30-00,1
46,23-00-00,6
47,23-30-00,1
