,time,value
0,00-00-00,20
1,00-30-00,8
2,01-00-00,7
3,01-30-00,8
4,02-00-00,6
5,02-30-00,18
6,03-00-00,7
7,03-30-00,4
8,04-00-00,6
9,04-30-00,0
10,05-00-00,4
11,05-30-00,8
12,06-00-00,4
13,06-30-00,4
14,07-00-00,41
15,07-30-00,267
16,08-00-00,323
17,08-30-00,240
18,09-00-00,170
19,09-30-00,306
20,10-00-00,92
21,10-30-00,138
22,11-00-00,121
23,11-30-00,131
24,12-00-00,88
25,12-30-00,85
26,13-00-00,99
27,13-30-00,74
28,14-00-00,42
29,14-30-00,103
30,15-00-00,84
31,15-30-00,100
32,16-00-00,49
33,16-30-00,84
34,17-00-00,63
35,17-30-00,122
36,18-00-00,118
37,18-30-00,176
38,19-00-00,71
39,19-30-00,82
40,20-00-00,94
41,20-30-00,84
42,21-00-00,95
43,21-30-00,85
44,22-00-00,52
45,22-30-00,85
46,23-00-00,57
47,23-30-00,9
