,time,value
0,00-00-00,8
1,00-30-00,24
2,01-00-00,17
3,01-30-00,7
4,02-00-00,3
5,02-30-00,4
6,03-00-00,5
7,03-30-00,10
8,04-00-00,6
9,04-30-00,6
10,05-00-00,1
11,05-30-00,1
12,06-00-00,0
13,06-30-00,3
14,07-00-00,26
15,07-30-00,140
16,08-00-00,176
17,08-30-00,380
18,09-00-00,172
19,09-30-00,73
20,10-00-00,62
21,10-30-00,44
22,11-00-00,38
23,11-30-00,48
24,12-00-00,79
25,12-30-00,99
26,13-00-00,108
27,13-30-00,71
28,14-00-00,58
29,14-30-00,25
30,15-00-00,19
31,15-30-00,19
32,16-00-00,29
33,16-30-00,40
34,17-00-00,64
35,17-30-00,78
36,18-00-00,126
37,18-30-00,170
38,19-00-00,99
39,19-30-00,58
40,20-00-00,47
41,20-30-00,31
42,21-00-00,31
43,21-30-00,12
44,22-00-00,9
45,22-30-00,23
46,23-00-00,12
47,23-30-00,3
