,time,value
0,00-00-00,2
1,00-30-00,1
2,01-00-00,2
3,01-30-00,0
4,02-00-00,2
5,02-30-00,2
6,03-00-00,2
7,03-30-00,0
8,04-00-00,0
9,04-30-00,0
10,05-00-00,0
11,05-30-00,0
12,06-00-00,1
13,06-30-00,2
14,07-00-00,17
15,07-30-00,53
16,08-00-00,155
17,08-30-00,112
18,09-00-00,115
19,09-30-00,98
20,10-00-00,67
21,10-30-00,45
22,11-00-00,37
23,11-30-00,52
24,12-00-00,80
25,12-30-00,106
26,13-00-00,71
27,13-30-00,50
28,14-00-00,28
29,14-30-00,25
30,15-00-00,15
31,15-30-00,19
32,16-00-00,19
33,16-30-00,29
34,17-00-00,38
35,17-30-00,85
36,18-00-00,114
37,18-30-00,77
38,19-00-00,47
39,19-30-00,61
40,20-00-00,28
41,20-30-00,11
42,21-00-00,9
43,21-30-00,15
44,22-00-00,27
45,22-30-00,7
46,23-00-00,9
47,23-30-00,6
