,time,value
0,00-00-00,4
1,00-30-00,5
2,01-00-00,2
3,01-30-00,3
4,02-00-00,1
5,02-30-00,0
6,03-00-00,1
7,03-30-00,3
8,04-00-00,1
9,04-30-00,0
10,05-00-00,0
11,05-30-00,0
12,06-00-00,0
13,06-30-00,1
14,07-00-00,6
15,07-30-00,24
16,08-00-00,25
17,08-30-00,20
18,09-00-00,11
19,09-30-00,13
20,10-00-00,21
21,10-30-00,13
22,11-00-00,14
23,11-30-00,16
24,12-00-00,8
25,12-30-00,16
26,13-00-00,8
27,13-30-00,10
28,14-00-00,12
29,14-30-00,7
30,15-00-00,10
31,15-30-00,16
32,16-00-00,18
33,16-30-00,4
34,17-00-00,20
35,17-30-00,20
36,18-00-00,25
37,18-30-00,16
38,19-00-00,7
39,19-30-00,10
40,20-00-00,10
41,20-30-00,17
42,21-00-00,13
43,21-30-00,12
44,22-00-00,18
45,22-30-00,8
46,23-00-00,8
47,23-30-00,5
