,time,value
0,00-00-00,9
1,00-30-00,4
2,01-00-00,2
3,01-30-00,3
4,02-00-00,2
5,02-30-00,0
6,03-00-00,3
7,03-30-00,1
8,04-00-00,4
9,04-30-00,0
10,05-00-00,1
11,05-30-00,0
12,06-00-00,2
13,06-30-00,2
14,07-00-00,1
15,07-30-00,4
16,08-00-00,3
17,08-30-00,7
18,09-00-00,6
19,09-30-00,2
20,10-00-00,5
21,10-30-00,6
22,11-00-00,4
23,11-30-00,11
24,12-00-00,17
25,12-30-00,13
26,13-00-00,10
27,13-30-00,13
28,14-00-00,7
29,14-30-00,4
30,15-00-00,4
31,15-30-00,1
32,16-00-00,4
33,16-30-00,9
34,17-00-00,8
35,17-30-00,11
36,18-00-00,12
37,18-30-00,19
38,19-00-00,25
39,19-30-00,7
40,20-00-00,5
41,20-30-00,2
42,21-00-00,3
43,21-30-00,15
44,22-00-00,3
45,22-30-00,3
46,23-00-00,5
47,23-30-00,4
