,time,value
0,00-00-00,2
1,00-30-00,1
2,01-00-00,1
3,01-30-00,1
4,02-00-00,1
5,02-30-00,2
6,03-00-00,1
7,03-30-00,4
8,04-00-00,0
9,04-30-00,0
10,05-00-00,0
11,05-30-00,0
12,06-00-00,0
13,06-30-00,1
14,07-00-00,2
15,07-30-00,2
16,08-00-00,3
17,08-30-00,3
18,09-00-00,4
19,09-30-00,7
20,10-00-00,1
21,10-30-00,2
22,11-00-00,0
23,11-30-00,15
24,12-00-00,11
25,12-30-00,10
26,13-00-00,7
27,13-30-00,4
28,14-00-00,3
29,14-30-00,2
30,15-00-00,7
31,15-30-00,1
32,16-00-00,1
33,16-30-00,1
34,17-00-00,8
35,17-30-00,12
36,18-00-00,9
37,18-30-00,17
38,19-00-00,6
39,19-30-00,2
40,20-00-00,7
41,20-30-00,5
42,21-00-00,5
43,21-30-00,6
44,22-00-00,8
45,22-30-00,6
46,23-00-00,4
47,23-30-00,3
