,time,value
0,00-00-00,5
1,00-30-00,1
2,01-00-00,4
3,01-30-00,1
4,02-00-00,4
5,02-30-00,0
6,03-00-00,0
7,03-30-00,1
8,04-00-00,2
9,04-30-00,3
10,05-00-00,0
11,05-30-00,0
12,06-00-00,0
13,06-30-00,0
14,07-00-00,1
15,07-30-00,5
16,08-00-00,4
17,08-30-00,2
18,09-00-00,1
19,09-30-00,2
20,10-00-00,4
21,10-30-00,1
22,11-00-00,3
23,11-30-00,0
24,12-00-00,3
25,12-30-00,5
26,13-00-00,2
27,13-30-00,1
28,14-00-00,0
29,14-30-00,4
30,15-00-00,1
31,15-30-00,2
32,16-00-00,2
33,16-30-00,0
34,17-00-00,1
35,17-30-00,5
36,18-00-00,3
37,18-30-00,5
38,19-00-00,3
39,19-30-00,3
40,20-00-00,2
41,20-30-00,1
42,21-00-00,2
43,21-30-00,2
44,22-00-00,5
45,22-30-00,4
46,23-00-00,3
47,23-30-00,6
