,time,value
0,00-00-00,6
1,00-30-00,3
2,01-00-00,1
3,01-30-00,1
4,02-00-00,3
5,02-30-00,0
6,03-00-00,0
7,03-30-00,1
8,04-00-00,1
9,04-30-00,0
10,05-00-00,0
11,05-30-00,1
12,06-00-00,0
13,06-30-00,1
14,07-00-00,2
15,07-30-00,12
16,08-00-00,9
17,08-30-00,8
18,09-00-00,4
19,09-30-00,13
20,10-00-00,3
21,10-30-00,2
22,11-00-00,4
23,11-30-00,8
24,12-00-00,4
25,12-30-00,4
26,13-00-00,2
27,13-30-00,5
28,14-00-00,6
29,14-30-00,0
30,15-00-00,2
31,15-30-00,2
32,16-00-00,1
33,16-30-00,5
34,17-00-00,4
35,17-30-00,4
36,18-00-00,3
37,18-30-00,17
38,19-00-00,5
39,19-30-00,11
40,20-00-00,5
41,20-30-00,13
42,21-00-00,6
43,21-30-00,11
44,22-00-00,10
45,22-30-00,10
46,23-00-00,4
47,23-30-00,7
