,time,value
0,00-00-00,4
1,00-30-00,6
2,01-00-00,5
3,01-30-00,4
4,02-00-00,3
5,02-30-00,1
6,03-00-00,0
7,03-30-00,0
8,04-00-00,0
9,04-30-00,0
10,05-00-00,1
11,05-30-00,0
12,06-00-00,3
13,06-30-00,2
14,07-00-00,5
15,07-30-00,15
16,08-00-00,31
17,08-30-00,57
18,09-00-00,52
19,09-30-00,35
20,10-00-00,31
21,10-30-00,28
22,11-00-00,31
23,11-30-00,38
24,12-00-00,52
25,12-30-00,39
26,13-00-00,31
27,13-30-00,37
28,14-00-00,27
29,14-30-00,19
30,15-00-00,37
31,15-30-00,38
32,16-00-00,35
33,16-30-00,56
34,17-00-00,94
35,17-30-00,192
36,18-00-00,95
37,18-30-00,104
38,19-00-00,81
39,19-30-00,60
40,20-00-00,53
41,20-30-00,55
42,21-00-00,75
43,21-30-00,36
44,22-00-00,63
45,22-30-00,56
46,23-00-00,24
47,23-30-00,18
