,time,value
0,00-00-00,0
1,00-30-00,0
2,01-00-00,0
3,01-30-00,0
4,02-00-00,0
5,02-30-00,0
6,03-00-00,0
7,03-30-00,0
8,04-00-00,0
9,04-30-00,0
10,05-00-00,0
11,05-30-00,0
12,06-00-00,0
13,06-30-00,0
14,07-00-00,0
15,07-30-00,0
16,08-00-00,0
17,08-30-00,0
18,09-00-00,0
19,09-30-00,0
20,10-00-00,0
21,10-30-00,0
22,11-00-00,8
23,11-30-00,20
24,12-00-00,32
25,12-30-00,34
26,13-00-00,14
27,13-30-00,24
28,14-00-00,30
29,14-30-00,27
30,15-00-00,22
31,15-30-00,25
32,16-00-00,35
33,16-30-00,37
34,17-00-00,47
35,17-30-00,109
36,18-00-00,127
37,18-30-00,69
38,19-00-00,57
39,19-30-00,70
40,20-00-00,42
41,20-30-00,138
42,21-00-00,150
43,21-30-00,103
44,22-00-00,138
45,22-30-00,88
46,23-00-00,69
47,23-30-00,21
