,time,value
0,00-00-00,9
1,00-30-00,3
2,01-00-00,2
3,01-30-00,1
4,02-00-00,1
5,02-30-00,1
6,03-00-00,1
7,03-30-00,2
8,04-00-00,2
9,04-30-00,1
10,05-00-00,0
11,05-30-00,0
12,06-00-00,0
13,06-30-00,2
14,07-00-00,12
15,07-30-00,9
16,08-00-00,13
17,08-30-00,14
18,09-00-00,13
19,09-30-00,13
20,10-00-00,8
21,10-30-00,9
22,11-00-00,15
23,11-30-00,10
24,12-00-00,22
25,12-30-00,12
26,13-00-00,10
27,13-30-00,6
28,14-00-00,3
29,14-30-00,5
30,15-00-00,11
31,15-30-00,11
32,16-00-00,8
33,16-30-00,9
34,17-00-00,19
35,17-30-00,21
36,18-00-00,56
37,18-30-00,39
38,19-00-00,27
39,19-30-00,33
40,20-00-00,21
41,20-30-00,11
42,21-00-00,30
43,21-30-00,39
44,22-00-00,93
45,22-30-00,62
46,23-00-00,21
47,23-30-00,21
