,time,value
0,00-00-00,11
1,00-30-00,4
2,01-00-00,4
3,01-30-00,2
4,02-00-00,1
5,02-30-00,3
6,03-00-00,2
7,03-30-00,1
8,04-00-00,0
9,04-30-00,1
10,05-00-00,3
11,05-30-00,2
12,06-00-00,0
13,06-30-00,4
14,07-00-00,10
15,07-30-00,13
16,08-00-00,16
17,08-30-00,5
18,09-00-00,22
19,09-30-00,20
20,10-00-00,13
21,10-30-00,22
22,11-00-00,19
23,11-30-00,29
24,12-00-00,22
25,12-30-00,22
26,13-00-00,33
27,13-30-00,19
28,14-00-00,27
29,14-30-00,18
30,15-00-00,10
31,15-30-00,11
32,16-00-00,19
33,16-30-00,23
34,17-00-00,30
35,17-30-00,47
36,18-00-00,35
37,18-30-00,38
38,19-00-00,33
39,19-30-00,45
40,20-00-00,17
41,20-30-00,27
42,21-00-00,29
43,21-30-00,25
44,22-00-00,33
45,22-30-00,14
46,23-00-00,0
47,23-30-00,0
