,time,value
0,00-00-00,8
1,00-30-00,6
2,01-00-00,4
3,01-30-00,0
4,02-00-00,0
5,02-30-00,2
6,03-00-00,0
7,03-30-00,0
8,04-00-00,3
9,04-30-00,1
10,05-00-00,2
11,05-30-00,0
12,06-00-00,6
13,06-30-00,0
14,07-00-00,12
15,07-30-00,37
16,08-00-00,79
17,08-30-00,79
18,09-00-00,109
19,09-30-00,62
20,10-00-00,39
21,10-30-00,41
22,11-00-00,28
23,11-30-00,53
24,12-00-00,69
25,12-30-00,62
26,13-00-00,69
27,13-30-00,73
28,14-00-00,57
29,14-30-00,42
30,15-00-00,27
31,15-30-00,33
32,16-00-00,48
33,16-30-00,90
34,17-00-00,131
35,17-30-00,185
36,18-00-00,164
37,18-30-00,141
38,19-00-00,114
39,19-30-00,95
40,20-00-00,68
41,20-30-00,83
42,21-00-00,102
43,21-30-00,117
44,22-00-00,163
45,22-30-00,66
46,23-00-00,33
47,23-30-00,11
