,time,value
0,00-00-00,6
1,00-30-00,10
2,01-00-00,0
3,01-30-00,0
4,02-00-00,1
5,02-30-00,3
6,03-00-00,0
7,03-30-00,0
8,04-00-00,1
9,04-30-00,0
10,05-00-00,1
11,05-30-00,2
12,06-00-00,2
13,06-30-00,4
14,07-00-00,18
15,07-30-00,36
16,08-00-00,38
17,08-30-00,32
18,09-00-00,17
19,09-30-00,29
20,10-00-00,22
21,10-30-00,25
22,11-00-00,12
23,11-30-00,20
24,12-00-00,52
25,12-30-00,31
26,13-00-00,22
27,13-30-00,39
28,14-00-00,17
29,14-30-00,28
30,15-00-00,36
31,15-30-00,41
32,16-00-00,36
33,16-30-00,28
34,17-00-00,46
35,17-30-00,67
36,18-00-00,144
37,18-30-00,111
38,19-00-00,53
39,19-30-00,72
40,20-00-00,76
41,20-30-00,150
42,21-00-00,144
43,21-30-00,132
44,22-00-00,139
45,22-30-00,93
46,23-00-00,42
47,23-30-00,16
