,time,value
0,00-00-00,4
1,00-30-00,1
2,01-00-00,3
3,01-30-00,4
4,02-00-00,3
5,02-30-00,0
6,03-00-00,1
7,03-30-00,1
8,04-00-00,0
9,04-30-00,0
10,05-00-00,0
11,05-30-00,1
12,06-00-00,4
13,06-30-00,3
14,07-00-00,10
15,07-30-00,11
16,08-00-00,38
17,08-30-00,52
18,09-00-00,40
19,09-30-00,39
20,10-00-00,34
21,10-30-00,28
22,11-00-00,34
23,11-30-00,41
24,12-00-00,47
25,12-30-00,30
26,13-00-00,25
27,13-30-00,39
28,14-00-00,20
29,14-30-00,20
30,15-00-00,30
31,15-30-00,19
32,16-00-00,31
33,16-30-00,53
34,17-00-00,77
35,17-30-00,127
36,18-00-00,194
37,18-30-00,120
38,19-00-00,97
39,19-30-00,74
40,20-00-00,59
41,20-30-00,75
42,21-00-00,93
43,21-30-00,52
44,22-00-00,52
45,22-30-00,39
46,23-00-00,39
47,23-30-00,8
