,time,value
0,00-00-00,0
1,00-30-00,1
2,01-00-00,0
3,01-30-00,0
4,02-00-00,2
5,02-30-00,0
6,03-00-00,0
7,03-30-00,0
8,04-00-00,0
9,04-30-00,0
10,05-00-00,1
11,05-30-00,0
12,06-00-00,2
13,06-30-00,2
14,07-00-00,10
15,07-30-00,67
16,08-00-00,92
17,08-30-00,72
18,09-00-00,62
19,09-30-00,89
20,10-00-00,44
21,10-30-00,83
22,11-00-00,78
23,11-30-00,86
24,12-00-00,113
25,12-30-00,73
26,13-00-00,78
27,13-30-00,125
28,14-00-00,55
29,14-30-00,67
30,15-00-00,71
31,15-30-00,128
32,16-00-00,125
33,16-30-00,134
34,17-00-00,164
35,17-30-00,278
36,18-00-00,201
37,18-30-00,154
38,19-00-00,122
39,19-30-00,116
40,20-00-00,117
41,20-30-00,157
42,21-00-00,147
43,21-30-00,145
44,22-00-00,94
45,22-30-00,55
46,23-00-00,24
47,23-30-00,6
