,time,value
0,00-00-00,1
1,00-30-00,0
2,01-00-00,0
3,01-30-00,0
4,02-00-00,1
5,02-30-00,0
6,03-00-00,0
7,03-30-00,0
8,04-00-00,0
9,04-30-00,0
10,05-00-00,0
11,05-30-00,0
12,06-00-00,2
13,06-30-00,0
14,07-00-00,10
15,07-30-00,25
16,08-00-00,47
17,08-30-00,53
18,09-00-00,53
19,09-30-00,61
20,10-00-00,39
21,10-30-00,57
22,11-00-00,52
23,11-30-00,85
24,12-00-00,71
25,12-30-00,55
26,13-00-00,48
27,13-30-00,48
28,14-00-00,42
29,14-30-00,47
30,15-00-00,41
31,15-30-00,23
32,16-00-00,39
33,16-30-00,39
34,17-00-00,48
35,17-30-00,131
36,18-00-00,191
37,18-30-00,180
38,19-00-00,107
39,19-30-00,112
40,20-00-00,60
41,20-30-00,30
42,21-00-00,50
43,21-30-00,66
44,22-00-00,43
45,22-30-00,11
46,23-00-00,35
47,23-30-00,8
