,time,value
0,00-00-00,6
1,00-30-00,1
2,01-00-00,0
3,01-30-00,0
4,02-00-00,1
5,02-30-00,1
6,03-00-00,0
7,03-30-00,0
8,04-00-00,0
9,04-30-00,0
10,05-00-00,0
11,05-30-00,0
12,06-00-00,0
13,06-30-00,2
14,07-00-00,6
15,07-30-00,9
16,08-00-00,33
17,08-30-00,54
18,09-00-00,47
19,09-30-00,59
20,10-00-00,59
21,10-30-00,51
22,11-00-00,121
23,11-30-00,87
24,12-00-00,73
25,12-30-00,100
26,13-00-00,29
27,13-30-00,63
28,14-00-00,46
29,14-30-00,49
30,15-00-00,54
31,15-30-00,49
32,16-00-00,62
33,16-30-00,50
34,17-00-00,88
35,17-30-00,58
36,18-00-00,30
37,18-30-00,57
38,19-00-00,57
39,19-30-00,38
40,20-00-00,16
41,20-30-00,14
42,21-00-00,21
43,21-30-00,23
44,22-00-00,30
45,22-30-00,20
46,23-00-00,26
47,23-30-00,0
