,time,value
0,00-00-00,3
1,00-30-00,1
2,01-00-00,0
3,01-30-00,0
4,02-00-00,0
5,02-30-00,0
6,03-00-00,0
7,03-30-00,0
8,04-00-00,0
9,04-30-00,0
10,05-00-00,0
11,05-30-00,2
12,06-00-00,1
13,06-30-00,0
14,07-00-00,16
15,07-30-00,149
16,08-00-00,109
17,08-30-00,61
18,09-00-00,73
19,09-30-00,120
20,10-00-00,46
21,10-30-00,35
22,11-00-00,43
23,11-30-00,72
24,12-00-00,38
25,12-30-00,46
26,13-00-00,55
27,13-30-00,55
28,14-00-00,49
29,14-30-00,35
30,15-00-00,53
31,15-30-00,103
32,16-00-00,105
33,16-30-00,66
34,17-00-00,70
35,17-30-00,123
36,18-00-00,101
37,18-30-00,127
38,19-00-00,101
39,19-30-00,124
40,20-00-00,82
41,20-30-00,166
42,21-00-00,149
43,21-30-00,156
44,22-00-00,120
45,22-30-00,32
46,23-00-00,44
47,23-30-00,4
