,time,value
0,00-00-00,0
1,00-30-00,0
2,01-00-00,0
3,01-30-00,0
4,02-00-00,0
5,02-30-00,0
6,03-00-00,0
7,03-30-00,0
8,04-00-00,0
9,04-30-00,1
10,05-00-00,0
11,05-30-00,1
12,06-00-00,1
13,06-30-00,0
14,07-00-00,25
15,07-30-00,58
16,08-00-00,38
17,08-30-00,53
18,09-00-00,20
19,09-30-00,49
20,10-00-00,23
21,10-30-00,18
22,11-00-00,10
23,11-30-00,32
24,12-00-00,23
25,12-30-00,15
26,13-00-00,23
27,13-30-00,26
28,14-00-00,19
29,14-30-00,18
30,15-00-00,1
31,15-30-00,51
32,16-00-00,25
33,16-30-00,30
34,17-00-00,44
35,17-30-00,42
36,18-00-00,117
37,18-30-00,31
38,19-00-00,27
39,19-30-00,67
40,20-00-00,17
41,20-30-00,46
42,21-00-00,63
43,21-30-00,89
44,22-00-00,30
45,22-30-00,68
46,23-00-00,23
47,23-30-00,8
