,time,value
0,00-00-00,0
1,00-30-00,0
2,01-00-00,0
3,01-30-00,0
4,02-00-00,0
5,02-30-00,0
6,03-00-00,0
7,03-30-00,0
8,04-00-00,1
9,04-30-00,0
10,05-00-00,0
11,05-30-00,0
12,06-00-00,2
13,06-30-00,2
14,07-00-00,6
15,07-30-00,16
16,08-00-00,54
17,08-30-00,62
18,09-00-00,48
19,09-30-00,35
20,10-00-00,21
21,10-30-00,41
22,11-00-00,52
23,11-30-00,97
24,12-00-00,96
25,12-30-00,74
26,13-00-00,34
27,13-30-00,45
28,14-00-00,49
29,14-30-00,39
30,15-00-00,26
31,15-30-00,54
32,16-00-00,85
33,16-30-00,61
34,17-00-00,69
35,17-30-00,137
36,18-00-00,184
37,18-30-00,135
38,19-00-00,96
39,19-30-00,72
40,20-00-00,110
41,20-30-00,58
42,21-00-00,110
43,21-30-00,71
44,22-00-00,100
45,22-30-00,39
46,23-00-00,15
47,23-30-00,2
