,time,value
0,00-00-00,0
1,00-30-00,8
2,01-00-00,1
3,01-30-00,1
4,02-00-00,2
5,02-30-00,0
6,03-00-00,0
7,03-30-00,0
8,04-00-00,0
9,04-30-00,1
10,05-00-00,1
11,05-30-00,2
12,06-00-00,2
13,06-30-00,3
14,07-00-00,9
15,07-30-00,52
16,08-00-00,142
17,08-30-00,150
18,09-00-00,131
19,09-30-00,104
20,10-00-00,80
21,10-30-00,82
22,11-00-00,94
23,11-30-00,85
24,12-00-00,125
25,12-30-00,104
26,13-00-00,143
27,13-30-00,70
28,14-00-00,61
29,14-30-00,67
30,15-00-00,76
31,15-30-00,51
32,16-00-00,49
33,16-30-00,62
34,17-00-00,111
35,17-30-00,180
36,18-00-00,195
37,18-30-00,181
38,19-00-00,116
39,19-30-00,79
40,20-00-00,80
41,20-30-00,69
42,21-00-00,79
43,21-30-00,76
44,22-00-00,45
45,22-30-00,43
46,23-00-00,25
47,23-30-00,7
