,time,value
0,00-00-00,2
1,00-30-00,3
2,01-00-00,0
3,01-30-00,0
4,02-00-00,1
5,02-30-00,2
6,03-00-00,1
7,03-30-00,0
8,04-00-00,0
9,04-30-00,4
10,05-00-00,0
11,05-30-00,0
12,06-00-00,4
13,06-30-00,4
14,07-00-00,21
15,07-30-00,63
16,08-00-00,118
17,08-30-00,156
18,09-00-00,148
19,09-30-00,102
20,10-00-00,80
21,10-30-00,83
22,11-00-00,63
23,11-30-00,74
24,12-00-00,98
25,12-30-00,100
26,13-00-00,87
27,13-30-00,74
28,14-00-00,65
29,14-30-00,51
30,15-00-00,57
31,15-30-00,53
32,16-00-00,59
33,16-30-00,81
34,17-00-00,74
35,17-30-00,108
36,18-00-00,190
37,18-30-00,188
38,19-00-00,187
39,19-30-00,87
40,20-00-00,64
41,20-30-00,47
42,21-00-00,64
43,21-30-00,62
44,22-00-00,59
45,22-30-00,22
46,23-00-00,33
47,23-30-00,7
