,time,value
0,00-00-00,4
1,00-30-00,4
2,01-00-00,2
3,01-30-00,3
4,02-00-00,0
5,02-30-00,0
6,03-00-00,0
7,03-30-00,1
8,04-00-00,0
9,04-30-00,1
10,05-00-00,0
11,05-30-00,0
12,06-00-00,6
13,06-30-00,1
14,07-00-00,3
15,07-30-00,7
16,08-00-00,11
17,08-30-00,35
18,09-00-00,23
19,09-30-00,41
20,10-00-00,42
21,10-30-00,35
22,11-00-00,24
23,11-30-00,46
24,12-00-00,34
25,12-30-00,56
26,13-00-00,44
27,13-30-00,33
28,14-00-00,36
29,14-30-00,21
30,15-00-00,27
31,15-30-00,23
32,16-00-00,30
33,16-30-00,33
34,17-00-00,26
35,17-30-00,40
36,18-00-00,56
37,18-30-00,40
38,19-00-00,49
39,19-30-00,33
40,20-00-00,25
41,20-30-00,15
42,21-00-00,25
43,21-30-00,30
44,22-00-00,29
45,22-30-00,23
46,23-00-00,29
47,23-30-00,6
