,time,value
0,00-00-00,8
1,00-30-00,0
2,01-00-00,3
3,01-30-00,3
4,02-00-00,3
5,02-30-00,1
6,03-00-00,1
7,03-30-00,0
8,04-00-00,0
9,04-30-00,0
10,05-00-00,0
11,05-30-00,0
12,06-00-00,0
13,06-30-00,4
14,07-00-00,6
15,07-30-00,12
16,08-00-00,13
17,08-30-00,2
18,09-00-00,14
19,09-30-00,16
20,10-00-00,14
21,10-30-00,22
22,11-00-00,25
23,11-30-00,34
24,12-00-00,35
25,12-30-00,38
26,13-00-00,33
27,13-30-00,30
28,14-00-00,29
29,14-30-00,37
30,15-00-00,31
31,15-30-00,32
32,16-00-00,26
33,16-30-00,39
34,17-00-00,47
35,17-30-00,50
36,18-00-00,51
37,18-30-00,54
38,19-00-00,34
39,19-30-00,26
40,20-00-00,142
41,20-30-00,35
42,21-00-00,44
43,21-30-00,16
44,22-00-00,51
45,22-30-00,38
46,23-00-00,27
47,23-30-00,7
