,time,value
0,00-00-00,4
1,00-30-00,2
2,01-00-00,1
3,01-30-00,3
4,02-00-00,0
5,02-30-00,1
6,03-00-00,0
7,03-30-00,3
8,04-00-00,0
9,04-30-00,0
10,05-00-00,0
11,05-30-00,3
12,06-00-00,5
13,06-30-00,3
14,07-00-00,30
15,07-30-00,211
16,08-00-00,202
17,08-30-00,222
18,09-00-00,130
19,09-30-00,184
20,10-00-00,68
21,10-30-00,85
22,11-00-00,75
23,11-30-00,235
24,12-00-00,98
25,12-30-00,102
26,13-00-00,111
27,13-30-00,104
28,14-00-00,79
29,14-30-00,64
30,15-00-00,65
31,15-30-00,98
32,16-00-00,88
33,16-30-00,89
34,17-00-00,85
35,17-30-00,171
36,18-00-00,184
37,18-30-00,168
38,19-00-00,138
39,19-30-00,151
40,20-00-00,75
41,20-30-00,140
42,21-00-00,148
43,21-30-00,161
44,22-00-00,181
45,22-30-00,105
46,23-00-00,56
47,23-30-00,14
