,time,value
0,00-00-00,5
1,00-30-00,3
2,01-00-00,1
3,01-30-00,0
4,02-00-00,2
5,02-30-00,0
6,03-00-00,0
7,03-30-00,1
8,04-00-00,0
9,04-30-00,2
10,05-00-00,0
11,05-30-00,2
12,06-00-00,4
13,06-30-00,2
14,07-00-00,33
15,07-30-00,236
16,08-00-00,200
17,08-30-00,131
18,09-00-00,92
19,09-30-00,193
20,10-00-00,66
21,10-30-00,52
22,11-00-00,52
23,11-30-00,87
24,12-00-00,83
25,12-30-00,79
26,13-00-00,68
27,13-30-00,115
28,14-00-00,65
29,14-30-00,59
30,15-00-00,117
31,15-30-00,146
32,16-00-00,53
33,16-30-00,47
34,17-00-00,82
35,17-30-00,173
36,18-00-00,132
37,18-30-00,147
38,19-00-00,94
39,19-30-00,106
40,20-00-00,73
41,20-30-00,99
42,21-00-00,144
43,21-30-00,151
44,22-00-00,179
45,22-30-00,95
46,23-00-00,36
47,23-30-00,10
