,time,value
0,00-00-00,4
1,00-30-00,1
2,01-00-00,3
3,01-30-00,0
4,02-00-00,0
5,02-30-00,1
6,03-00-00,1
7,03-30-00,2
8,04-00-00,1
9,04-30-00,0
10,05-00-00,0
11,05-30-00,0
12,06-00-00,1
13,06-30-00,1
14,07-00-00,4
15,07-30-00,21
16,08-00-00,19
17,08-30-00,22
18,09-00-00,23
19,09-30-00,27
20,10-00-00,28
21,10-30-00,16
22,11-00-00,25
23,11-30-00,31
24,12-00-00,49
25,12-30-00,44
26,13-00-00,50
27,13-30-00,14
28,14-00-00,8
29,14-30-00,17
30,15-00-00,21
31,15-30-00,25
32,16-00-00,7
33,16-30-00,19
34,17-00-00,46
35,17-30-00,44
36,18-00-00,82
37,18-30-00,85
38,19-00-00,45
39,19-30-00,20
40,20-00-00,35
41,20-30-00,44
42,21-00-00,29
43,21-30-00,21
44,22-00-00,24
45,22-30-00,24
46,23-00-00,13
47,23-30-00,6
