,time,value
0,00-00-00,16
1,00-30-00,11
2,01-00-00,3
3,01-30-00,3
4,02-00-00,2
5,02-30-00,0
6,03-00-00,3
7,03-30-00,0
8,04-00-00,1
9,04-30-00,0
10,05-00-00,2
11,05-30-00,1
12,06-00-00,6
13,06-30-00,3
14,07-00-00,21
15,07-30-00,85
16,08-00-00,124
17,08-30-00,116
18,09-00-00,75
19,09-30-00,108
20,10-00-00,60
21,10-30-00,71
22,11-00-00,68
23,11-30-00,82
24,12-00-00,97
25,12-30-00,76
26,13-00-00,82
27,13-30-00,130
28,14-00-00,79
29,14-30-00,68
30,15-00-00,72
31,15-30-00,78
32,16-00-00,112
33,16-30-00,93
34,17-00-00,139
35,17-30-00,153
36,18-00-00,147
37,18-30-00,100
38,19-00-00,87
39,19-30-00,96
40,20-00-00,114
41,20-30-00,138
42,21-00-00,156
43,21-30-00,165
44,22-00-00,92
45,22-30-00,74
46,23-00-00,43
47,23-30-00,27
