,time,value
0,00-00-00,5
1,00-30-00,3
2,01-00-00,2
3,01-30-00,1
4,02-00-00,2
5,02-30-00,0
6,03-00-00,3
7,03-30-00,3
8,04-00-00,0
9,04-30-00,2
10,05-00-00,2
11,05-30-00,0
12,06-00-00,4
13,06-30-00,3
14,07-00-00,20
15,07-30-00,109
16,08-00-00,95
17,08-30-00,125
18,09-00-00,85
19,09-30-00,73
20,10-00-00,52
21,10-30-00,52
22,11-00-00,58
23,11-30-00,65
24,12-00-00,48
25,12-30-00,38
26,13-00-00,44
27,13-30-00,59
28,14-00-00,48
29,14-30-00,34
30,15-00-00,48
31,15-30-00,60
32,16-00-00,53
33,16-30-00,50
34,17-00-00,92
35,17-30-00,74
36,18-00-00,105
37,18-30-00,117
38,19-00-00,84
39,19-30-00,87
40,20-00-00,68
41,20-30-00,143
42,21-00-00,141
43,21-30-00,118
44,22-00-00,165
45,22-30-00,82
46,23-00-00,102
47,23-30-00,21
