,time,value
0,00-00-00,9
1,00-30-00,4
2,01-00-00,8
3,01-30-00,8
4,02-00-00,2
5,02-30-00,1
6,03-00-00,2
7,03-30-00,2
8,04-00-00,0
9,04-30-00,0
10,05-00-00,0
11,05-30-00,1
12,06-00-00,3
13,06-30-00,2
14,07-00-00,4
15,07-30-00,9
16,08-00-00,29
17,08-30-00,66
18,09-00-00,58
19,09-30-00,41
20,10-00-00,51
21,10-30-00,41
22,11-00-00,44
23,11-30-00,67
24,12-00-00,63
25,12-30-00,74
26,13-00-00,94
27,13-30-00,79
28,14-00-00,26
29,14-30-00,42
30,15-00-00,54
31,15-30-00,52
32,16-00-00,54
33,16-30-00,95
34,17-00-00,127
35,17-30-00,102
36,18-00-00,79
37,18-30-00,65
38,19-00-00,83
39,19-30-00,61
40,20-00-00,34
41,20-30-00,26
42,21-00-00,13
43,21-30-00,18
44,22-00-00,32
45,22-30-00,16
46,23-00-00,30
47,23-30-00,9
