,time,value
0,00-00-00,2
1,00-30-00,1
2,01-00-00,2
3,01-30-00,1
4,02-00-00,0
5,02-30-00,0
6,03-00-00,2
7,03-30-00,3
8,04-00-00,2
9,04-30-00,2
10,05-00-00,0
11,05-30-00,1
12,06-00-00,1
13,06-30-00,3
14,07-00-00,1
15,07-30-00,3
16,08-00-00,5
17,08-30-00,5
18,09-00-00,23
19,09-30-00,35
20,10-00-00,16
21,10-30-00,18
22,11-00-00,35
23,11-30-00,38
24,12-00-00,29
25,12-30-00,41
26,13-00-00,16
27,13-30-00,41
28,14-00-00,24
29,14-30-00,39
30,15-00-00,20
31,15-30-00,30
32,16-00-00,22
33,16-30-00,25
34,17-00-00,26
35,17-30-00,47
36,18-00-00,32
37,18-30-00,34
38,19-00-00,34
39,19-30-00,25
40,20-00-00,19
41,20-30-00,16
42,21-00-00,18
43,21-30-00,15
44,22-00-00,22
45,22-30-00,19
46,23-00-00,8
47,23-30-00,4
