,time,value
0,00-00-00,5
1,00-30-00,2
2,01-00-00,10
3,01-30-00,2
4,02-00-00,0
5,02-30-00,0
6,03-00-00,0
7,03-30-00,0
8,04-00-00,0
9,04-30-00,0
10,05-00-00,0
11,05-30-00,0
12,06-00-00,2
13,06-30-00,4
14,07-00-00,7
15,07-30-00,43
16,08-00-00,86
17,08-30-00,87
18,09-00-00,70
19,09-30-00,70
20,10-00-00,66
21,10-30-00,61
22,11-00-00,62
23,11-30-00,75
24,12-00-00,67
25,12-30-00,61
26,13-00-00,59
27,13-30-00,68
28,14-00-00,63
29,14-30-00,57
30,15-00-00,48
31,15-30-00,50
32,16-00-00,55
33,16-30-00,57
34,17-00-00,64
35,17-30-00,69
36,18-00-00,102
37,18-30-00,123
38,19-00-00,98
39,19-30-00,71
40,20-00-00,51
41,20-30-00,42
42,21-00-00,78
43,21-30-00,46
44,22-00-00,47
45,22-30-00,46
46,23-00-00,29
47,23-30-00,6
