,time,value
0,00-00-00,6
1,00-30-00,11
2,01-00-00,3
3,01-30-00,1
4,02-00-00,4
5,02-30-00,0
6,03-00-00,0
7,03-30-00,0
8,04-00-00,0
9,04-30-00,3
10,05-00-00,0
11,05-30-00,1
12,06-00-00,1
13,06-30-00,6
14,07-00-00,24
15,07-30-00,110
16,08-00-00,120
17,08-30-00,79
18,09-00-00,78
19,09-30-00,116
20,10-00-00,39
21,10-30-00,32
22,11-00-00,60
23,11-30-00,94
24,12-00-00,53
25,12-30-00,36
26,13-00-00,28
27,13-30-00,24
28,14-00-00,18
29,14-30-00,23
30,15-00-00,54
31,15-30-00,104
32,16-00-00,68
33,16-30-00,74
34,17-00-00,64
35,17-30-00,107
36,18-00-00,90
37,18-30-00,101
38,19-00-00,72
39,19-30-00,120
40,20-00-00,69
41,20-30-00,82
42,21-00-00,136
43,21-30-00,117
44,22-00-00,135
45,22-30-00,93
46,23-00-00,73
47,23-30-00,15
