,time,value
0,00-00-00,9
1,00-30-00,7
2,01-00-00,6
3,01-30-00,2
4,02-00-00,1
5,02-30-00,0
6,03-00-00,1
7,03-30-00,2
8,04-00-00,3
9,04-30-00,3
10,05-00-00,1
11,05-30-00,0
12,06-00-00,2
13,06-30-00,0
14,07-00-00,13
15,07-30-00,94
16,08-00-00,157
17,08-30-00,310
18,09-00-00,126
19,09-30-00,148
20,10-00-00,105
21,10-30-00,199
22,11-00-00,264
23,11-30-00,167
24,12-00-00,197
25,12-30-00,195
26,13-00-00,208
27,13-30-00,201
28,14-00-00,138
29,14-30-00,92
30,15-00-00,54
31,15-30-00,63
32,16-00-00,62
33,16-30-00,285
34,17-00-00,159
35,17-30-00,143
36,18-00-00,162
37,18-30-00,111
38,19-00-00,124
39,19-30-00,93
40,20-00-00,65
41,20-30-00,74
42,21-00-00,59
43,21-30-00,75
44,22-00-00,38
45,22-30-00,71
46,23-00-00,42
47,23-30-00,7
