,time,value
0,00-00-00,12
1,00-30-00,17
2,01-00-00,9
3,01-30-00,2
4,02-00-00,7
5,02-30-00,7
6,03-00-00,1
7,03-30-00,0
8,04-00-00,0
9,04-30-00,1
10,05-00-00,3
11,05-30-00,1
12,06-00-00,1
13,06-30-00,5
14,07-00-00,26
15,07-30-00,92
16,08-00-00,319
17,08-30-00,541
18,09-00-00,452
19,09-30-00,384
20,10-00-00,227
21,10-30-00,172
22,11-00-00,144
23,11-30-00,252
24,12-00-00,234
25,12-30-00,335
26,13-00-00,320
27,13-30-00,255
28,14-00-00,237
29,14-30-00,228
30,15-00-00,230
31,15-30-00,111
32,16-00-00,134
33,16-30-00,143
34,17-00-00,182
35,17-30-00,335
36,18-00-00,403
37,18-30-00,322
38,19-00-00,330
39,19-30-00,236
40,20-00-00,182
41,20-30-00,123
42,21-00-00,182
43,21-30-00,112
44,22-00-00,166
45,22-30-00,104
46,23-00-00,70
47,23-30-00,23
