,time,value
0,00-00-00,8
1,00-30-00,9
2,01-00-00,5
3,01-30-00,3
4,02-00-00,6
5,02-30-00,2
6,03-00-00,0
7,03-30-00,1
8,04-00-00,1
9,04-30-00,0
10,05-00-00,0
11,05-30-00,3
12,06-00-00,1
13,06-30-00,3
14,07-00-00,10
15,07-30-00,20
16,08-00-00,154
17,08-30-00,173
18,09-00-00,40
19,09-30-00,71
20,10-00-00,86
21,10-30-00,59
22,11-00-00,73
23,11-30-00,221
24,12-00-00,278
25,12-30-00,228
26,13-00-00,87
27,13-30-00,119
28,14-00-00,80
29,14-30-00,98
30,15-00-00,223
31,15-30-00,156
32,16-00-00,105
33,16-30-00,85
34,17-00-00,116
35,17-30-00,66
36,18-00-00,137
37,18-30-00,168
38,19-00-00,96
39,19-30-00,131
40,20-00-00,66
41,20-30-00,83
42,21-00-00,79
43,21-30-00,29
44,22-00-00,54
45,22-30-00,61
46,23-00-00,47
47,23-30-00,7
