,time,value
0,00-00-00,33
1,00-30-00,16
2,01-00-00,7
3,01-30-00,7
4,02-00-00,5
5,02-30-00,1
6,03-00-00,6
7,03-30-00,3
8,04-00-00,1
9,04-30-00,1
10,05-00-00,0
11,05-30-00,0
12,06-00-00,0
13,06-30-00,2
14,07-00-00,4
15,07-30-00,17
16,08-00-00,24
17,08-30-00,63
18,09-00-00,152
19,09-30-00,150
20,10-00-00,106
21,10-30-00,94
22,11-00-00,113
23,11-30-00,173
24,12-00-00,188
25,12-30-00,221
26,13-00-00,194
27,13-30-00,153
28,14-00-00,157
29,14-30-00,130
30,15-00-00,109
31,15-30-00,98
32,16-00-00,85
33,16-30-00,127
34,17-00-00,145
35,17-30-00,234
36,18-00-00,255
37,18-30-00,257
38,19-00-00,165
39,19-30-00,126
40,20-00-00,112
41,20-30-00,120
42,21-00-00,116
43,21-30-00,71
44,22-00-00,81
45,22-30-00,55
46,23-00-00,63
47,23-30-00,19
