,time,value
0,00-00-00,24
1,00-30-00,35
2,01-00-00,13
3,01-30-00,14
4,02-00-00,8
5,02-30-00,9
6,03-00-00,11
7,03-30-00,5
8,04-00-00,4
9,04-30-00,6
10,05-00-00,1
11,05-30-00,5
12,06-00-00,7
13,06-30-00,5
14,07-00-00,38
15,07-30-00,239
16,08-00-00,174
17,08-30-00,195
18,09-00-00,68
19,09-30-00,242
20,10-00-00,76
21,10-30-00,79
22,11-00-00,61
23,11-30-00,157
24,12-00-00,116
25,12-30-00,81
26,13-00-00,122
27,13-30-00,253
28,14-00-00,57
29,14-30-00,122
30,15-00-00,38
31,15-30-00,83
32,16-00-00,44
33,16-30-00,80
34,17-00-00,67
35,17-30-00,109
36,18-00-00,110
37,18-30-00,83
38,19-00-00,78
39,19-30-00,68
40,20-00-00,87
41,20-30-00,84
42,21-00-00,143
43,21-30-00,77
44,22-00-00,155
45,22-30-00,156
46,23-00-00,61
47,23-30-00,28
