,time,value
0,00-00-00,9
1,00-30-00,11
2,01-00-00,4
3,01-30-00,5
4,02-00-00,3
5,02-30-00,3
6,03-00-00,6
7,03-30-00,1
8,04-00-00,0
9,04-30-00,3
10,05-00-00,0
11,05-30-00,0
12,06-00-00,1
13,06-30-00,1
14,07-00-00,20
15,07-30-00,57
16,08-00-00,99
17,08-30-00,174
18,09-00-00,172
19,09-30-00,267
20,10-00-00,140
21,10-30-00,156
22,11-00-00,94
23,11-30-00,94
24,12-00-00,83
25,12-30-00,223
26,13-00-00,203
27,13-30-00,223
28,14-00-00,55
29,14-30-00,102
30,15-00-00,89
31,15-30-00,41
32,16-00-00,52
33,16-30-00,146
34,17-00-00,87
35,17-30-00,106
36,18-00-00,188
37,18-30-00,116
38,19-00-00,151
39,19-30-00,126
40,20-00-00,111
41,20-30-00,104
42,21-00-00,77
43,21-30-00,109
44,22-00-00,87
45,22-30-00,123
46,23-00-00,45
47,23-30-00,25
