,time,value
0,00-00-00,26
1,00-30-00,11
2,01-00-00,11
3,01-30-00,13
4,02-00-00,5
5,02-30-00,4
6,03-00-00,0
7,03-30-00,2
8,04-00-00,0
9,04-30-00,0
10,05-00-00,3
11,05-30-00,0
12,06-00-00,0
13,06-30-00,0
14,07-00-00,21
15,07-30-00,105
16,08-00-00,368
17,08-30-00,503
18,09-00-00,446
19,09-30-00,372
20,10-00-00,197
21,10-30-00,128
22,11-00-00,148
23,11-30-00,188
24,12-00-00,230
25,12-30-00,300
26,13-00-00,245
27,13-30-00,262
28,14-00-00,277
29,14-30-00,201
30,15-00-00,73
31,15-30-00,144
32,16-00-00,142
33,16-30-00,178
34,17-00-00,188
35,17-30-00,320
36,18-00-00,385
37,18-30-00,332
38,19-00-00,285
39,19-30-00,269
40,20-00-00,215
41,20-30-00,228
42,21-00-00,157
43,21-30-00,188
44,22-00-00,211
45,22-30-00,154
46,23-00-00,53
47,23-30-00,22
