,time,value
0,00-00-00,10
1,00-30-00,12
2,01-00-00,8
3,01-30-00,3
4,02-00-00,4
5,02-30-00,2
6,03-00-00,1
7,03-30-00,0
8,04-00-00,0
9,04-30-00,0
10,05-00-00,2
11,05-30-00,0
12,06-00-00,5
13,06-30-00,5
14,07-00-00,24
15,07-30-00,111
16,08-00-00,92
17,08-30-00,98
18,09-00-00,73
19,09-30-00,142
20,10-00-00,74
21,10-30-00,26
22,11-00-00,59
23,11-30-00,181
24,12-00-00,88
25,12-30-00,55
26,13-00-00,116
27,13-30-00,85
28,14-00-00,50
29,14-30-00,77
30,15-00-00,69
31,15-30-00,315
32,16-00-00,76
33,16-30-00,78
34,17-00-00,63
35,17-30-00,236
36,18-00-00,124
37,18-30-00,72
38,19-00-00,19
39,19-30-00,51
40,20-00-00,29
41,20-30-00,96
42,21-00-00,93
43,21-30-00,95
44,22-00-00,82
45,22-30-00,70
46,23-00-00,26
47,23-30-00,6
