,time,value
0,00-00-00,4
1,00-30-00,4
2,01-00-00,0
3,01-30-00,3
4,02-00-00,5
5,02-30-00,1
6,03-00-00,0
7,03-30-00,0
8,04-00-00,0
9,04-30-00,0
10,05-00-00,1
11,05-30-00,1
12,06-00-00,2
13,06-30-00,6
14,07-00-00,6
15,07-30-00,19
16,08-00-00,58
17,08-30-00,76
18,09-00-00,76
19,09-30-00,51
20,10-00-00,56
21,10-30-00,31
22,11-00-00,31
23,11-30-00,60
24,12-00-00,54
25,12-30-00,47
26,13-00-00,38
27,13-30-00,58
28,14-00-00,43
29,14-30-00,29
30,15-00-00,34
31,15-30-00,36
32,16-00-00,46
33,16-30-00,43
34,17-00-00,43
35,17-30-00,69
36,18-00-00,93
37,18-30-00,62
38,19-00-00,53
39,19-30-00,54
40,20-00-00,27
41,20-30-00,36
42,21-00-00,21
43,21-30-00,22
44,22-00-00,15
45,22-30-00,20
46,23-00-00,15
47,23-30-00,6
