,time,value
0,00-00-00,1
1,00-30-00,4
2,01-00-00,1
3,01-30-00,10
4,02-00-00,1
5,02-30-00,2
6,03-00-00,0
7,03-30-00,0
8,04-00-00,0
9,04-30-00,0
10,05-00-00,2
11,05-30-00,0
12,06-00-00,1
13,06-30-00,1
14,07-00-00,0
15,07-30-00,8
16,08-00-00,47
17,08-30-00,28
18,09-00-00,6
19,09-30-00,7
20,10-00-00,8
21,10-30-00,13
22,11-00-00,10
23,11-30-00,13
24,12-00-00,45
25,12-30-00,18
26,13-00-00,4
27,13-30-00,9
28,14-00-00,9
29,14-30-00,6
30,15-00-00,23
31,15-30-00,16
32,16-00-00,10
33,16-30-00,9
34,17-00-00,9
35,17-30-00,10
36,18-00-00,14
37,18-30-00,7
38,19-00-00,11
39,19-30-00,10
40,20-00-00,5
41,20-30-00,9
42,21-00-00,5
43,21-30-00,5
44,22-00-00,4
45,22-30-00,6
46,23-00-00,6
47,23-30-00,1
