,time,value
0,00-00-00,7
1,00-30-00,6
2,01-00-00,0
3,01-30-00,4
4,02-00-00,1
5,02-30-00,3
6,03-00-00,1
7,03-30-00,1
8,04-00-00,0
9,04-30-00,0
10,05-00-00,0
11,05-30-00,0
12,06-00-00,0
13,06-30-00,2
14,07-00-00,2
15,07-30-00,4
16,08-00-00,2
17,08-30-00,10
18,09-00-00,35
19,09-30-00,20
20,10-00-00,26
21,10-30-00,13
22,11-00-00,11
23,11-30-00,18
24,12-00-00,20
25,12-30-00,31
26,13-00-00,25
27,13-30-00,31
28,14-00-00,9
29,14-30-00,14
30,15-00-00,19
31,15-30-00,12
32,16-00-00,13
33,16-30-00,17
34,17-00-00,19
35,17-30-00,15
36,18-00-00,27
37,18-30-00,19
38,19-00-00,18
39,19-30-00,35
40,20-00-00,16
41,20-30-00,14
42,21-00-00,19
43,21-30-00,13
44,22-00-00,24
45,22-30-00,13
46,23-00-00,6
47,23-30-00,3
