,time,value
0,00-00-00,3
1,00-30-00,0
2,01-00-00,4
3,01-30-00,2
4,02-00-00,1
5,02-30-00,1
6,03-00-00,2
7,03-30-00,0
8,04-00-00,1
9,04-30-00,0
10,05-00-00,0
11,05-30-00,0
12,06-00-00,1
13,06-30-00,3
14,07-00-00,8
15,07-30-00,17
16,08-00-00,49
17,08-30-00,108
18,09-00-00,106
19,09-30-00,117
20,10-00-00,60
21,10-30-00,48
22,11-00-00,61
23,11-30-00,68
24,12-00-00,61
25,12-30-00,57
26,13-00-00,44
27,13-30-00,55
28,14-00-00,53
29,14-30-00,67
30,15-00-00,35
31,15-30-00,76
32,16-00-00,32
33,16-30-00,33
34,17-00-00,61
35,17-30-00,73
36,18-00-00,108
37,18-30-00,78
38,19-00-00,30
39,19-30-00,46
40,20-00-00,16
41,20-30-00,26
42,21-00-00,27
43,21-30-00,23
44,22-00-00,13
45,22-30-00,8
46,23-00-00,27
47,23-30-00,4
