,time,value
0,00-00-00,4
1,00-30-00,3
2,01-00-00,1
3,01-30-00,1
4,02-00-00,1
5,02-30-00,2
6,03-00-00,0
7,03-30-00,0
8,04-00-00,1
9,04-30-00,0
10,05-00-00,0
11,05-30-00,0
12,06-00-00,0
13,06-30-00,3
14,07-00-00,8
15,07-30-00,30
16,08-00-00,50
17,08-30-00,78
18,09-00-00,75
19,09-30-00,57
20,10-00-00,35
21,10-30-00,42
22,11-00-00,35
23,11-30-00,53
24,12-00-00,110
25,12-30-00,43
26,13-00-00,44
27,13-30-00,49
28,14-00-00,39
29,14-30-00,35
30,15-00-00,38
31,15-30-00,22
32,16-00-00,45
33,16-30-00,42
34,17-00-00,48
35,17-30-00,79
36,18-00-00,83
37,18-30-00,69
38,19-00-00,51
39,19-30-00,26
40,20-00-00,25
41,20-30-00,28
42,21-00-00,36
43,21-30-00,19
44,22-00-00,16
45,22-30-00,15
46,23-00-00,8
47,23-30-00,12
